id,vis,navn,status,start,koordinater,beskrivelse,medier,opdateret,note
knudhule-badebro,TRUE,Knudhule badebro,Virker,Dock,"56.1029787, 9.7835161","Navn på Lokation:
Knudhule Badebro, Knudsø

Adresse:
Knudhulevej 15, 8680 Ry, Danmark

Beskrivelse af Dock:
En offentlig badebro med lav højde over vandet, perfekt til dockstart for pumpfoil. Broen er solid og bred nok til at klargøre udstyr komfortabelt. Start fra siden af broen er let tilgængelig og giver en god platform for både begyndere og øvede.
OBS. Badebroen bliver taget ned i vinterhalvåret. Omkring 1/11 i år 2025.

Bundforhold:
Ren søbund primært bestående af sand uden generende tang eller planter. Vanddybden tæt på broen er ideel til pumpfoil, og dybden øges gradvist. Ingen skjulte forhindringer, hvilket gør foiling sikkert.

Vind- og Vejrforhold:
Området er ofte beskyttet mod kraftig vind, hvilket giver rolige vandforhold. Bedst egnet på dage med lidt eller ingen vind. Kan også anvendes med vind fra østlige retninger man ikke mærker vinde pga. træer og fralandsforhold.

Tilgængelighed:
Der er gratis parkering lige ved Knudhule Strand, kun få meter fra badebroen, hvilket gør det nemt at transportere udstyr. Området er ikke direkte tilgængeligt med offentlig transport, men kan nås med cykel eller bil fra nærliggende byer.

Faciliteter:
Offentlige toiletter og omklædningsfaciliteter er tilgængelige ved stranden. Der er også en café/restaurant i nærheden, hvor man kan nyde mad og drikke efter en session på vandet.

Sikkerhedstips:
Vær opmærksom på andre badende, især i sommermånederne. Sørg for at holde afstand til svømmeområdet for at undgå kollisioner. Det er vigtigt at respektere badegæster og svømmere i området.

Lokale Regler og Restriktioner:
Undgå at forstyrre fiskere eller andre brugere af søen. Følg eventuelle anvisninger på skiltning omkring badeområdet.

Andre Bemærkninger:
Knudhule Badebro er et favoritsted pumpfoil-entusiaster, og der er ofte andre foilere at møde, hvilket skaber en hyggelig atmosfære. Når der er vind fra vestlige retninger er det desuden et godt sted at windsurfe, wingfoile og windfoile.","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7EJGXr--CHLdXzRX6De1X_msk8zPm9R3EdHSHJ1yZ6gnGdfQOdEGABx_f5U3vZd4hnUwLpcNCtM2Zc3SwUq0l0aOq34-uaVbB5ZQNSZWItu5_7crC0_ce_QhBHiq7Qs8vSowdgoucwSiwepH-0hERoA4Fe2rC2N89Ub61ktyLQSLgYBRv6gR-Dz3ofX2-nnslll5uwlBknBxhQ5m3CNBx9axzzCBh6xK630sFDmxX9ycw7n3tK5jAbJeQ?authuser=0&fife=s16383
https://www.youtube.com/watch?v=tPW2mcTQEPQ
https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR50Yv6yldFLgrNQQkaQUmXkeaTV8D8IdfBJKm9Xy9O92tsBl6CqyYkLQEmW0B-zJhV-3IFwq3B_S6NGGzrBIrtyLC1_Hki1g6oxKR_4Y3KwiJM1vWlDW5v3S5Htz4G5XOjrgeJDRF0FXWXc_G4N8Wyb6ehp4M9meOEKAloKFt1oE_KsmkL_evWHkk1Ay3FkwnB1sLfuePNgNZn7fpBevkKM911d8h5ytgj7RG9J02GdgNHjiAmp9DRheRY?authuser=0&fife=s16383",2026-09-23,
knudhule-lystbaadhavn-1,TRUE,Knudhule Lystbådhavn 1,Virker,Dock,"56.1046430, 9.7828410","Adresse:
Knudhulevej 15, 8680 Ry, Danmark

Beskrivelse af Dock:
En offentlig havnebro. Fint plads til at løbe på, men der er en liste yderst på kanten som gør det lidt svært at placere fødderne når man springer ud fra broen.

Bundforhold:
Ren søbund primært bestående af sand. Der er enkelt genstande i området ved havnen som man kan ramme, men ikke et stort problem. Der er nogle gange lidt plantevækst inde i selve havneområdet. Hvis der er algeopblomstring er det også herinde det er værst.

Vind- og Vejrforhold:
Området er ofte beskyttet mod kraftig vind, hvilket giver rolige vandforhold. Bedst egnet på dage med lidt eller ingen vind. Kan også anvendes med vind fra østlige retninger man ikke mærker vinde pga. træer og fralandsforhold.

Tilgængelighed:
Der er gratis parkering lige ved Knudhule Strand, kun få meter fra badebroen, hvilket gør det nemt at transportere udstyr. Området er ikke direkte tilgængeligt med offentlig transport, men kan nås med cykel eller bil fra nærliggende byer.

Faciliteter:
Offentlige toiletter og omklædningsfaciliteter er tilgængelige ved stranden. Der er også en café/restaurant i nærheden, hvor man kan nyde mad og drikke efter en session på vandet.

Sikkerhedstips:
Vær opmærksom på andre badende, især i sommermånederne. Sørg for at holde afstand til svømmeområdet for at undgå kollisioner. Det er vigtigt at respektere badegæster og svømmere i området.

Lokale Regler og Restriktioner:
Undgå at forstyrre fiskere eller andre brugere af søen. Følg eventuelle anvisninger på skiltning omkring badeområdet.

Andre Bemærkninger:
Knudhule Badebro er et favoritsted pumpfoil-entusiaster, og der er ofte andre foilere at møde, hvilket skaber en hyggelig atmosfære. Når der er vind fra vestlige retninger er det desuden et godt sted at windsurfe, wingfoile og windfoile.",,2026-09-23,
knudhule-lystbaadhavn-2,TRUE,Knudhule Lystbådhavn 2,Virker,Dock,"56.1047387, 9.7822536","Adresse:
Knudhulevej 15, 8680 Ry, Danmark

Beskrivelse af Dock:
En offentlig havnebro. Fint plads til at løbe på, men der er en liste yderst på kanten som gør det lidt svært at placere fødderne når man springer ud fra broen.

Bundforhold:
Ren søbund primært bestående af sand. Der er enkelt genstande i området ved havnen som man kan ramme, men ikke et stort problem. Der er nogle gange lidt plantevækst inde i selve havneområdet. Hvis der er algeopblomstring er det også herinde det er værst.

Vind- og Vejrforhold:
Området er ofte beskyttet mod kraftig vind, hvilket giver rolige vandforhold. Bedst egnet på dage med lidt eller ingen vind. Kan også anvendes med vind fra østlige retninger man ikke mærker vinde pga. træer og fralandsforhold.

Tilgængelighed:
Der er gratis parkering lige ved Knudhule Strand, kun få meter fra badebroen, hvilket gør det nemt at transportere udstyr. Området er ikke direkte tilgængeligt med offentlig transport, men kan nås med cykel eller bil fra nærliggende byer.

Faciliteter:
Offentlige toiletter og omklædningsfaciliteter er tilgængelige ved stranden. Der er også en café/restaurant i nærheden, hvor man kan nyde mad og drikke efter en session på vandet.

Sikkerhedstips:
Vær opmærksom på andre badende, især i sommermånederne. Sørg for at holde afstand til svømmeområdet for at undgå kollisioner. Det er vigtigt at respektere badegæster og svømmere i området.

Lokale Regler og Restriktioner:
Undgå at forstyrre fiskere eller andre brugere af søen. Følg eventuelle anvisninger på skiltning omkring badeområdet.

Andre Bemærkninger:
Knudhule Badebro er et favoritsted pumpfoil-entusiaster, og der er ofte andre foilere at møde, hvilket skaber en hyggelig atmosfære. Når der er vind fra vestlige retninger er det desuden et godt sted at windsurfe, wingfoile og windfoile.",https://www.youtube.com/watch?v=zhNAUUUrrD8,2026-09-23,
egaa-marina-roklubben,TRUE,Egå Marina (Roklubben),Virker,Dock,"56.2110775, 10.2901626","Navn på Lokation:
Egå Marina

Adresse:
Egå Havvej 35, 8250 Egå, Danmark

Beskrivelse af Dock:
Egå Marina har en rigtig god flyde dock ved Roklubben der er velegnede til pumpfoil med dockstart. Broerne har en passende højde over vandet og tilbyder området tilbyder god plads til at klargøre dit udstyr.

Bundforhold:
Vandet omkring marinaen er dybt og har ikke nogen forhindringer, hvilket er ideelt for foiling.

OBS. I nogle tilfælde kan der være lidt forurening i vandet, såsom dieselolie, så det er en god idé at tjekke forholdene inden din session.

Vind- og Vejrforhold:
Marinaen skærmer godt af for vind, men dog være udsat for vind, især fra østlige retninger. Kraftig modvind kan gøre det udfordrende at pumpe ligeud, da vinden kan dreje boardet til siden. Bedst egnet på dage med let vind eller vind fra vestlige retninger, hvor marinaen giver læ.

Tilgængelighed:
Der er rigeligt med parkeringspladser tæt på molerne, hvilket gør det nemt at transportere dit udstyr til vandet. Området er tilgængeligt med offentlig transport fra Aarhus, med busstoppesteder i nærheden af marinaen.

Faciliteter:
Egå Marina er veludstyret med faciliteter såsom toiletter, bade- og omklædningsrum. Der er også caféer og restauranter i området, hvor du kan slappe af efter din session. En kiosk på stedet tilbyder snacks og drikkevarer.

Sikkerhedstips:
Vær opmærksom på bådtrafikken i havnen, især i weekender og på helligdage, hvor aktiviteten kan være høj. Sørg for at holde afstand til sejlruter og respekter andre brugere af havnen. Vær også opmærksom på eventuel forurening i vandet, som dieselolie, og undgå at foile i disse områder for din egen sikkerhed.

Lokale Regler og Restriktioner:
Følg havnens regler og anvisninger. Undgå at blokere sejladsen eller forstyrre maritim trafik. Respekter eventuelle skiltninger og instruktioner fra havnepersonalet.

Andre Bemærkninger:
Egå Marina er et populært spot for pumpfoil-entusiaster, og du kan møde andre foilere her. Området giver gode muligheder for at øve teknikker som at pumpe i cirkler og vende tilbage til docken.","https://www.youtube.com/watch?v=IlT7Ay1SHjY
https://www.youtube.com/watch?v=zs8mGIJnDVc",2026-09-23,
almind-soe-oestre-soebad,TRUE,Almind Sø (Østre søbad),Virker,Dock,"56.1480266, 9.5555384","Navn på Lokation:
Almind Sø, Østre Søbad

Adresse:
Almind Søvej 9, 8600 Silkeborg, Danmark

Beskrivelse af Dock:
Østre Søbad ved Almind Sø har en stor og solid badebro med lav højde over vandet, hvilket gør den helt ideel til dockstart for pumpfoil. Broen er bred og rummelig, hvilket giver god plads til at klargøre dit udstyr. Adgangen til vandet er nem og uden forhindringer, hvilket gør starten problemfri.

Bundforhold:
Bunden er sandet og ren med klart og indbydende vand. Måske det reneste vand i Danmark, hvorfor der stort set aldrig er alger i vandet. Der er ingen generende tang eller planter, og vandkvaliteten er høj. Vanddybden tæt på broen er mere end tilstrækkelig til foiling 2-5 meter. Ingen skjulte forhindringer gør området sikkert for både begyndere og erfarne foilere.

Vind- og Vejrforhold:
Almind Sø er kendt for sine rolige vandforhold, især på vindstille dage. Ofte er vandet så spejlblankt, at det kan være en udfordring at vurdere højden på masten, hvilket giver en unik foilingoplevelse.

Tilgængelighed:
Der er gratis parkering lige ved Østre Søbad, kun få meter fra badebroen, hvilket gør det nemt at transportere dit udstyr til vandet. Området er let tilgængeligt med bil og cykel fra Silkeborg og omegn. Offentlig transport er også en mulighed, med busforbindelser til nærheden af søen.

Faciliteter:
Østre Søbad tilbyder offentlige toiletter, omklædningsfaciliteter og badefaciliteter. Der er også picnicområder og græsplæner, hvor du kan slappe af før eller efter din session. Ingen caféer eller restauranter direkte på stedet, men Silkeborg by er kun en kort køretur væk, hvor du finder et bredt udvalg af spisesteder. I flere perioden er der en mobil kaffebar, hvor man kan købe kvalitetskaffe - super lækkert!

Sikkerhedstips:
Vær opmærksom på andre badende, især i sommermånederne, da søen er populær blandt svømmere. Sørg for at holde afstand til svømmeområderne for at undgå kollisioner. Da vandet kan være ekstremt roligt, kan det være udfordrende at vurdere din hastighed og højde på masten, så vær ekstra opmærksom på din teknik for at undgå fald. Broen bliver ikke pillet ned i vinterperioden, da den også er brugt meget til vinterbadning.

Lokale Regler og Restriktioner:
Kommunen har meldt ud at man ikke skal gå i land land søens bredder på SUP/foil. Det er derfor vigtigt at holde sig til badebroen. Ellers ender det med et “foil forbud”. Respekter øvrige lokale regler for brug af vandsportsudstyr. Undgå at forstyrre fiskere eller andre brugere af søen. Følg eventuelle anvisninger og skiltning ved badeområdet, og sørg for at efterlade området rent og ryddeligt.

Andre Bemærkninger:
Almind Sø, og specifikt Østre Søbad, er et af de absolut bedste steder at pumpfoile i området. Den rolige atmosfære og de ideelle forhold gør det til et perfekt sted for både træning og lange sessioner. Med rent vand og smuk natur omkring er det en oplevelse i sig selv at besøge dette sted.","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7McDomYBWxmFsfwc14F2qhXHxGh2sEiEYyBBCoLpsA4C36yao3e-3hU2E0AHLLlTPTKaGdqquv15I95zaPEpi3sbx7eSR5sdqVlw0Z5XL-3kajGf4mPO5hn8LiVlPPF4LHvDJPsCz1YbM7CA586w-w_-2fg5T_klybdAdlaYYtEd-R0LvhAEMq1Yj6lXuDdZ5c6KauiVq-OgH__pwq_pSKVe7ODbqfbgU0i2jToYPM0jJ_j-pMw-LLGvE?authuser=0&fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4ih4o_6YqalUn8UlQbIl08znYhETSDqyZ0GqUNL4bUOXXjJmc-eeLDwL_x5I1AVDPsrSPtVMd7YF2UmjQrSXZSYPLRCcueA_w2s_Dj_W5e7lQY-WAjSKQAGLP9FsJvil9YKS7tLQsGUqGp0SC_NqnV4NJDdPV0_uO9aAWvBtP9zXhkYJw9H5sSlSx1HA9KM2UqSKCO9DnHNtDmePrK-PnyHDrdjPfmlhfQ6zgFjn58Bj6rziricp2T9Xc?authuser=0&fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7oik3XKQpfFsBagcfteA_iz3zHc0Kuie7dOr1t4sZLnGPHU7Vdco4A54Bm8vqQ0gg2p6QkwdMHHSmPybooLqlGACxNrXm7LiPyvDhzC5c3uCUSlDNXw-Qy5Ej6uZBhRofMWGnUMh537EWVbGh3OvAF5U0POpWLViRWgMfLxhsassOLaDLWrdLbMNIO4rL9UUitZGg8h7BqJPXrBMJza_DTt-PnPjDgV5h17YUg3OOAWeuJtlrXOI9GHR4?authuser=0&fife=s16383
https://www.youtube.com/watch?v=ISbTzJbdR-0",2026-09-23,
nappedam-kajakklub-ved-hullet,TRUE,Nappedam Kajakklub (ved Hullet),Virker,Dock,"56.2766072, 10.4961324","Navn på Lokation:
Nappedam Kajakklub ved Nappedam Lystbådehavn

Adresse:
Nappedam 1, 8410 Rønde, Danmark

Beskrivelse af Dock:
Nappedam Kajakklub ligger ved Nappedam Lystbådehavn og har en solid bro, der er egnet til pumpfoil med dockstart. Broen har en lav højde over vandet, hvilket gør den ideel til afsæt. Der er tilstrækkelig plads til at klargøre dit udstyr, men vær opmærksom på, at området primært bruges af kajakroere, så vis hensyn og undgå at blokere adgangsveje.

Bundforhold:
Bundforholdene er generelt gode med en kombination af sand og småsten. Vanddybden tæt på broen er tilstrækkelig for foiling, og dybden øges hurtigt, hvilket giver sikkerhed ved eventuelle fald. Der er få undervandsplanter, hvilket minimerer risikoen for, at de hænger fast i foilen. Ingen kendte forhindringer i vandet gør området sikkert for både begyndere og erfarne foilere.

Vind- og Vejrforhold:
Området er forholdsvis beskyttet mod kraftig vind, men kan være udsat for østlige vinde fra Aarhus Bugt. Bedst egnet på dage med let vind eller vind fra vestlige retninger, hvor kystlinjen giver læ. Vindstille dage er ideelle for lange pumpfoil-sessioner, men let vind kan også være til gavn for fremdriften.

Tilgængelighed:
Der er parkeringsmuligheder ved Nappedam Lystbådehavn, kun få meter fra kajakklubben, hvilket gør det nemt at transportere dit udstyr til vandet. Offentlig transport til området er begrænset, så bil er den mest praktiske måde at komme dertil på.

Faciliteter:
Nappedam Kajakklub har adgang til toiletter og omklædningsfaciliteter. Der er ingen caféer eller restauranter direkte ved havnen, men Rønde by, som ligger tæt på, tilbyder flere spisemuligheder og butikker, hvis du har brug for forfriskninger efter din session.

Sikkerhedstips:
Vær opmærksom på kajakroere og andre vandsportsudøvere i området. Sørg for at give plads og undgå kollisionsrisici. Hold også øje med bådtrafik fra lystbådehavnen, især i sommermånederne. Det anbefales at bære en redningsvest og eventuelt bruge signalflag for at øge din synlighed på vandet.

Lokale Regler og Restriktioner:
Respekter kajakklubbens område og de lokale regler. Det kan være en god idé at kontakte klubben for at sikre, at det er i orden at bruge broen til pumpfoil. Følg eventuelle anvisninger og skiltning på stedet, og sørg for at efterlade området rent og ryddeligt.

Andre Bemærkninger:
Den naturskønne beliggenhed ved indsejlingen til Kalø Vig giver en unik oplevelse, og området er mindre trafikeret end andre spots som Egå Marina.",,2026-09-23,
vejle-kajakklub,TRUE,Vejle Kajakklub,Virker,Dock,"55.7081315, 9.5564028","Navn på Lokation:
Vejle Kajakklub ved Vejle Havn

Adresse:
Skyttehusgade 34, 7100 Vejle, Danmark

Beskrivelse af Dock:
Vejle Kajakklub ligger centralt i Vejle Havn og har en lav flydebro, der er velegnet til pumpfoil med dockstart. Broen er designet til kajakker, men kan med forsigtighed benyttes af foilere. Højden over vandet er ideel, og der er tilstrækkelig plads til at klargøre dit udstyr. Vær opmærksom på, at broen primært bruges af kajakroere, så det er vigtigt at vise hensyn og koordinere med klubben inden brug.

Bundforhold:
Bundforholdene i havneområdet er generelt gode med en sandet og mudret bund. Vanddybden tæt på broen er passende for foiling, men da Vejle Fjord har tidevand, kan dybden variere.

Vind- og Vejrforhold:
Vejle Fjord er beskyttet mod stærke vinde fra vest, men kan være udsat for østlige vinde, der blæser direkte ind i fjorden. Bedst egnet på dage med svag til moderat vind.
Vær opmærksom på, at vindretningen kan skabe strømforhold, der påvirker foiling.

Tilgængelighed:
Der er gode parkeringsmuligheder tæt på kajakklubben, hvilket gør det nemt at transportere udstyr til vandet. Offentlig transport er let tilgængelig med Vejle Banegård inden for gåafstand.

Faciliteter:
Vejle Kajakklub tilbyder faciliteter som toiletter, omklædningsrum og opbevaringsskabe. Disse faciliteter er primært forbeholdt klubbens medlemmer, så det anbefales at kontakte klubben for at høre om mulighederne. I nærheden finder du caféer, restauranter og butikker, hvor du kan købe forfriskninger eller udstyr.

Sikkerhedstips:
Vær særlig opmærksom på den maritime trafik i havnen, herunder lystbåde, fiskerbåde og turbåde. Hold dig uden for de markerede sejlruter og vær synlig for andre på vandet.

Lokale Regler og Restriktioner:
Følg havnens generelle regler, og vær opmærksom på skiltning omkring hastighedsbegrænsninger og sikkerhed.

Andre Bemærkninger:
Lokale foilere anbefaler at undgå travle perioder i havnen for at minimere risikoen for kollisioner og for at få mest muligt ud af din session.","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7Jv1jrAq6vV3yWA9SNJjrMouEl4hkmyGgvlLcz6IrOnl9CHY36TjIUuFnTZy9k9Fyge-VfYMLFFUtq2eyxzTW2Kh-BuhFzbpgzI067PnExcnanpyuO43F_LddCgWFXit2_B2NlTyMuT002hr1oHG6HHliVGvD9K1dlqR7joVZlvLMI79ISMoalkOxJ3RJf-sXMWRuME89zlaignAIrKuMGbprnq9tcZ8d2Cb5lUrLXSJzBPpi_g0aB2Ao?authuser=0&fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4Exk2oY9uYlXZ5vymYeJtXcB6zSdpqvShiR-Vy9wEXd5fSDt4tUd8ZL4dmkCuRYdiG_nKVbhWzubQaWcIgOR1KCVdLvojNxExFVroILw2SAgD1LbpABRC-K0XuNDp3vtC5-UPj5kYTIfHnJv5rr_KbkeGZow-hwmczF3YGx-K4kH6O0QMrECFvYYBLUzDfClJa79pHTpY4h_3O7fM2_6pEpXvCyE_DDp_H-NtyxQSZilfyPonoXMEqNDU?authuser=0&fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR53UBQ6jYkWI2B77g-S26hdUkIpWhkJnIWBTFyoN8qb_fLvO7P5eNRQ8HKo442Yi5wiJ0E4Xq8zNpY0eg6mbOW2dHa4xy2snLxILVZ-asVyGvFtHnAd6S0yOj8CNTOWua-VvwG3XBaAFMWNdZQRV1cEpI0dEGhmMo-nhrEwzPpCLnjbqAr2BtaIK_s8xtpEOfLcmfAsKg7M86MXyxQQXQRyb1oZs2RjTEYJvHuvPgD5NlJgeeWtBPFehEA?authuser=0&fife=s16383
https://www.youtube.com/watch?v=L6ydaJ5BZuc",2026-09-23,
horsens-kajakklub,TRUE,Horsens Kajakklub,Virker,Dock,"55.8588850, 9.8751865","Navn på Lokation:
Horsens Kajakklub

Adresse:
Strandpromenaden 2, 8700 Horsens, Danmark

Beskrivelse af Dock:
Horsens Kajakklub ligger ved bredden af Horsens Fjord og har en lav flydebro designet til kajakker. Broen er velegnet til pumpfoil med dockstart, da den har en lav højde over vandet og er stabil.
Vær opmærksom på, at broen primært bruges af kajakroere, så det er vigtigt at vise hensyn og koordinere med klubben, hvis det er nødvendigt.

Bundforhold:
Bundforholdene omkring kajakklubben er generelt gode med en sandet og mudret bund. Vanddybden tæt på broen er passende for foiling, og der er få undervandsplanter, hvilket minimerer risikoen for, at de hænger fast i foilen. Der er ingen kendte forhindringer i vandet.

Vind- og Vejrforhold:
Horsens Fjord er beskyttet mod kraftige vinde fra vest, men kan være udsat for østlige vinde, der blæser ind i fjorden. Bedst egnet på dage med svag til moderat vind eller vindstille, hvilket giver rolige vandforhold ideelle til pumpfoil. Vejrforholdene kan variere, så det er en god idé at tjekke vejrudsigten inden din session.

Tilgængelighed:
Der er gode parkeringsmuligheder tæt på kajakklubben, hvilket gør det nemt at transportere dit udstyr til vandet. Området er let tilgængeligt med bil, og der er offentlig transport til Horsens centrum, hvorefter du kan gå eller cykle til klubben. Stien til broen er velholdt og nem at navigere med udstyr.

Faciliteter:
Horsens Kajakklub tilbyder faciliteter som toiletter, omklædningsrum og opbevaringsmuligheder, primært forbeholdt klubbens medlemmer. Det anbefales at kontakte klubben for at høre om mulighederne for gæstebrug af faciliteterne. I nærheden af klubben finder du caféer og restauranter, hvor du kan nyde en forfriskning efter din session.

Sikkerhedstips:
Vær opmærksom på andre vandsportsudøvere, herunder kajakroere og sejlere, der benytter fjorden.
Bådtrafikken kan variere, så vær opmærksom på omgivelserne og brug gerne en signalvest eller andet synligt tøj for at øge din synlighed.

Lokale Regler og Restriktioner:
Respekter Horsens Kajakklubs regler og retningslinjer. Det er en god idé at kontakte klubben inden brug af deres bro for at sikre, at du overholder deres politikker. Følg havnens generelle regler og vær opmærksom på eventuelle skiltninger omkring sikkerhed og adfærd på vandet.

Andre Bemærkninger:
Horsens Fjord byder på naturskønne omgivelser og rolige vandforhold, hvilket gør det til et attraktivt sted for pumpfoil-entusiaster. Området er mindre trafikeret end større havne, hvilket giver mulighed for længere og mere uforstyrrede sessioner. Hvis du søger et sted at øve dine færdigheder i fredelige omgivelser, er Horsens Kajakklub et besøg værd.",,2026-09-23,
aalborg-sejlklub,TRUE,Aalborg Sejlklub,Virker,Dock,"57.0556884, 9.8753489","Navn på Lokation:
Aalborg Lystbådehavn ved Aalborg Sejlklub

Adresse:
Skydebanevej 12, 9000 Aalborg, Danmark

Beskrivelse af Dock:
Ved Aalborg Sejlklub finder du solide flydebroer, der er velegnede til pumpfoil med dockstart. Broerne har en lav højde over vandet, hvilket gør dem ideelle til afsæt.
Vær opmærksom på, at broerne primært bruges af sejlere, så vis hensyn og undgå at blokere adgangen for andre.

Bundforhold:
Bundforholdene i havneområdet er generelt gode med en blanding af sand og mudder. Vanddybden tæt på broerne er tilstrækkelig for foiling.

Vind- og Vejrforhold:
Aalborg Lystbådehavn er beskyttet mod de mest kraftige vinde, men kan være påvirket af vind fra østlige retninger. Området er bedst egnet på dage med let vind eller vindstille, hvilket giver rolige vandforhold ideelle til pumpfoil. Vindforholdene kan variere på grund af byens bebyggelse, så det er en god idé at tjekke lokale vejrforhold inden din session.

Tilgængelighed:
Der er gode parkeringsmuligheder tæt på Aalborg Sejlklub, hvilket gør det nemt at transportere dit udstyr til vandet. Offentlig transport er tilgængelig med busstoppesteder i nærheden, og Aalborg centrum ligger inden for gåafstand.

Faciliteter:
Aalborg Sejlklub tilbyder faciliteter som toiletter, omklædningsrum og klubhus. Disse faciliteter er primært forbeholdt klubbens medlemmer, så det anbefales at kontakte klubben for at høre om mulighederne for gæstebrug. I nærheden finder du caféer, restauranter og butikker, hvor du kan købe forfriskninger eller nødvendigt udstyr.

Sikkerhedstips:
Vær opmærksom på den maritime trafik i havnen, herunder sejl- og motorbåde. Hold dig uden for de markerede sejlruter og respekter havnens færdselsregler.

Lokale Regler og Restriktioner:
Respekter Aalborg Sejlklubs regler og anvisninger. Følg havnens generelle regler, og vær opmærksom på skiltning vedrørende sikkerhed, miljøhensyn og adfærd.",,2026-09-23,
aalborg-cablepark,TRUE,Aalborg Cablepark,Virker,Dock,"57.0485907, 9.9403605","Navn på Lokation:
Aalborg Lystbådehavn ved Aalborg Cable Park

Adresse:
Kystvejen 100, 9000 Aalborg, Danmark

Beskrivelse af Dock:
Ved Aalborg Cable Park i Aalborg Lystbådehavn finder du en unik mulighed for pumpfoil. Området har en flydende platform og anlæg, der primært er designet til kabel-vandsport som wakeboarding, men kan også benyttes til pumpfoil.

Bundforhold:
Bundforholdene er generelt gode med en sandet og mudret bund. Vanddybden tæt på platformen er tilstrækkelig for foiling, og der er få undervandsforhindringer. Dog skal man være opmærksom på eventuelle kabler og udstyr i vandet relateret til kabelparken. Det er vigtigt at holde sig uden for det aktive kabelområde for at undgå risiko for sammenstød eller skader på udstyr.

Vind- og Vejrforhold:
Området er forholdsvis beskyttet, men kan være påvirket af vind fra Limfjorden. Bedst egnet på dage med let vind eller vindstille, hvilket giver rolige vandforhold ideelle til pumpfoil. Vind fra vestlige retninger giver ofte de mest stabile forhold i dette område.

Tilgængelighed:
Der er gode parkeringsmuligheder tæt på Aalborg Cable Park, og området er let tilgængeligt med offentlig transport. Det er nemt at transportere dit udstyr fra parkeringen til vandet, da der er etablerede stier og ramper.

Faciliteter:
Aalborg Cable Park tilbyder en række faciliteter, herunder toiletter, omklædningsrum og en café, hvor du kan købe mad og drikke. Disse faciliteter er tilgængelige i parkens åbningstider. Der er også siddeområder og græsplæner, hvor du kan slappe af før eller efter din session.

Sikkerhedstips:
Vær ekstra opmærksom på andre vandsportsudøvere, især når kabelparken er i drift.

Lokale Regler og Restriktioner:
Det er vigtigt at respektere Aalborg Cable Parks regler og retningslinjer. Kontakt parkens personale inden du bruger området til pumpfoil for at sikre, at det er tilladt, og for at få information om eventuelle særlige forhold.",,2026-09-23,
